Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-2093.719	-2276.715	182.9958	1.009476	4.042003	0.6627011	3.243884
6	-2092.595	-2276.483	183.8877	1.081038	4.46506	0.5944606	2.639249
12	-2099.129	-2283.852	184.7228	1.240661	4.657608	0.5795789	1.980097
18	-2109.778	-2294.112	184.3343	1.198957	5.967241	0.4466539	2.17502
24	-2116.04	-2300.073	184.0324	1.029604	3.172255	0.7659045	2.721204
30	-2100.109	-2283.716	183.6072	0.9985831	5.208066	0.6710467	2.66468
36	-2092.5	-2275.606	183.1061	1.057877	3.993842	0.8683007	3.009321
42	-2097.724	-2281.869	184.1456	1.069341	4.459128	0.6825595	2.410411
48	-2096.183	-2279.767	183.5846	0.9725539	4.398938	0.6825595	2.828655
54	-2101.449	-2285.79	184.3413	1.010231	5.170708	0.5884378	2.276143
60	-2102.635	-2286.032	183.3966	1.068413	8.668445	0.4731594	2.470871
66	-2099.788	-2283.298	183.5099	0.9486467	5.44367	0.4731594	2.898667
72	-2106.845	-2289.931	183.086	0.917305	7.556797	0.5057785	2.850296
78	-2105.093	-2288.426	183.3327	0.9601081	6.529374	0.5525743	2.761097
84	-2101.208	-2284.901	183.6936	1.088921	4.631974	0.5525743	2.761097
90	-2097.803	-2282.165	184.3622	1.100633	4.778522	0.5330328	2.329588
96	-2103.014	-2286.897	183.8822	1.281801	4.983272	0.5714629	2.444114
102	-2093.914	-2278.847	184.933	1.349054	4.044555	0.7232238	1.759513
108	-2094.993	-2280.129	185.1357	1.323887	3.162116	0.6917626	1.888777
114	-2097.378	-2282.066	184.6877	1.246139	3.967284	0.7125393	2.023311
120	-2116.606	-2300.909	184.3036	1.164611	3.110178	0.444804	2.7759
126	-2105.233	-2289.057	183.8241	1.055042	3.772493	0.7517959	2.704759
132	-2104.271	-2288.623	184.3527	1.066393	4.673442	0.4518578	2.462582
138	-2103.953	-2287.052	183.0992	1.013529	4.553893	0.5324253	3.196707
144	-2100.514	-2283.448	182.934	1.010348	4.210742	0.5900562	3.307602
150	-2101.854	-2285.855	184.001	1.160521	3.263708	0.7476279	2.651327
156	-2089.074	-2273.047	183.973	1.09888	3.653409	0.7018272	2.651327
162	-2098.163	-2281.094	182.9306	0.9434019	4.6631	0.5579024	3.294984
168	-2104.225	-2287.946	183.7218	0.8990667	4.638865	0.5702194	2.841872
174	-2097.074	-2279.06	181.9862	0.7120409	4.860694	0.6132877	3.896975
180	-2099.9	-2281.661	181.7605	0.7753394	5.198707	0.3573723	4.185471
186	-2099.636	-2281.861	182.2251	0.7949314	3.878783	0.5890342	3.909554
192	-2100.36	-2281.847	181.4873	0.733653	4.911819	0.4826934	4.276221
198	-2097.837	-2279.666	181.8287	0.7195052	4.528887	0.5730264	4.072513
204	-2096.056	-2279.975	183.919	1.089017	5.090218	0.4882207	2.605249
210	-2098.079	-2281.893	183.8141	1.10231	5.592613	0.5702636	2.498011
216	-2099.996	-2283.979	183.9838	1.222292	5.4974	0.6371388	2.268942
222	-2103.523	-2288.045	184.5224	1.062025	5.0895	0.5566745	2.171098
228	-2107.209	-2291.117	183.9089	0.9616351	4.651131	0.6760916	2.594702
234	-2108.061	-2291.9	183.8384	0.9111206	5.805636	0.4552039	2.684315
240	-2106.74	-2290.117	183.3767	0.7353374	7.314859	0.4194591	2.905349
